ticker,mentions,bullish_pct,bearish_pct,neutral_pct,sentiment_ratio,weighted_sentiment,avg_confidence
REAX,5,100.0,0.0,0.0,inf,70.0,70.0
RKT,7,100.0,0.0,0.0,inf,70.0,70.0
RUN,6,100.0,0.0,0.0,inf,69.99999999999999,70.0
PTON,19,100.0,0.0,0.0,inf,69.73684210526315,69.73684210526316
MBLY,40,97.5,2.5,0.0,39.0,69.625,72.875
HUT,9,100.0,0.0,0.0,inf,69.44444444444446,69.44444444444444
NET,40,97.5,2.5,0.0,39.0,69.25,73.25
POET,6,100.0,0.0,0.0,inf,69.16666666666667,69.16666666666667
RR,6,100.0,0.0,0.0,inf,69.16666666666666,69.16666666666667
TRT,6,100.0,0.0,0.0,inf,69.16666666666666,69.16666666666667
BP,6,100.0,0.0,0.0,inf,69.16666666666666,69.16666666666667
IRBT,160,99.375,0.625,0.0,159.0,69.00000000000003,69.625
SPA,5,100.0,0.0,0.0,inf,69.0,69.0
RILY,5,100.0,0.0,0.0,inf,69.0,69.0
BIVI,22,100.0,0.0,0.0,inf,68.86363636363635,68.86363636363636
BROS,8,100.0,0.0,0.0,inf,68.75,68.75
IREN,12,100.0,0.0,0.0,inf,68.75,68.75
JPM,18,94.44444444444444,5.555555555555555,1.7763568394002505e-15,17.0,68.61111111111111,76.38888888888889
BILL,7,100.0,0.0,0.0,inf,68.57142857142857,68.57142857142857
DOUG,6,100.0,0.0,0.0,inf,68.33333333333333,68.33333333333333
HTLD,9,100.0,0.0,0.0,inf,68.33333333333333,68.33333333333333
CORZ,50,96.0,4.0,0.0,24.0,68.30000000000001,73.7
PAGS,5,100.0,0.0,0.0,inf,68.0,68.0
NRDY,5,100.0,0.0,0.0,inf,68.0,68.0
JOE,5,100.0,0.0,0.0,inf,68.0,68.0
EC,7,100.0,0.0,0.0,inf,67.85714285714286,67.85714285714286
TEM,58,98.27586206896551,1.7241379310344827,8.43769498715119e-15,57.0,67.84482758620692,70.08620689655173
MELI,73,94.52054794520548,5.47945205479452,8.881784197001252e-16,17.25,67.60273972602742,75.0
CLDI,37,100.0,0.0,0.0,inf,67.43243243243244,67.43243243243244
DDOG,38,97.36842105263158,2.631578947368421,3.9968028886505635e-15,37.0,67.36842105263159,70.78947368421052
RIG,7,100.0,0.0,0.0,inf,67.14285714285714,67.14285714285714
BTU,7,100.0,0.0,0.0,inf,67.14285714285714,67.14285714285714
JMIA,5,100.0,0.0,0.0,inf,67.0,67.0
FFH,23,95.65217391304348,4.3478260869565215,-5.329070518200751e-15,22.000000000000004,66.95652173913042,71.30434782608695
JD,182,96.15384615384616,3.8461538461538463,-6.661338147750939e-15,25.0,66.73076923076923,71.73076923076923
BB,31,96.7741935483871,3.225806451612903,-6.217248937900877e-15,30.000000000000004,66.29032258064518,70.16129032258064
HOOD,268,94.40298507462687,5.223880597014925,0.3731343283582058,18.071428571428573,66.17537313432827,73.19029850746269
SPHR,90,94.44444444444444,5.555555555555555,1.7763568394002505e-15,17.0,65.72222222222224,72.5
XYZ,15,93.33333333333333,6.666666666666667,4.440892098500626e-15,13.999999999999998,65.66666666666666,74.33333333333333
ABNB,44,95.45454545454545,4.545454545454546,8.881784197001252e-16,20.999999999999996,65.45454545454544,71.36363636363636
ZS,16,93.75,6.25,0.0,15.0,65.31249999999999,72.8125
GEO,5,100.0,0.0,0.0,inf,65.00000000000001,65.0
RXRX,9,100.0,0.0,0.0,inf,65.0,65.0
WULF,21,95.23809523809523,4.761904761904762,1.1546319456101628e-14,19.999999999999996,64.99999999999999,71.66666666666667
FUBO,9,100.0,0.0,0.0,inf,64.99999999999999,65.0
NU,125,92.80000000000001,7.199999999999999,-1.0658141036401503e-14,12.888888888888891,64.32000000000005,74.08
NNOX,6,100.0,0.0,0.0,inf,64.16666666666667,64.16666666666667
XPEV,26,92.3076923076923,7.6923076923076925,8.881784197001252e-16,12.0,64.03846153846155,74.42307692307692
HIMS,656,93.4451219512195,6.402439024390244,0.15243902439025092,14.595238095238095,63.77591463414627,72.14481707317073
OKLO,55,92.72727272727272,7.2727272727272725,7.993605777301127e-15,12.75,63.45454545454544,72.18181818181819
AMAT,9,88.88888888888889,11.11111111111111,3.552713678800501e-15,8.0,63.33333333333333,76.66666666666667
ADYEN,12,91.66666666666666,8.333333333333332,1.0658141036401503e-14,11.0,63.33333333333333,75.0
DOCS,17,94.11764705882352,5.88235294117647,7.993605777301127e-15,16.0,63.23529411764706,72.05882352941177
BIDU,138,92.7536231884058,7.246376811594203,0.0,12.799999999999999,63.188405797101446,72.3913043478261
YINN,11,90.9090909090909,9.090909090909092,1.7763568394002505e-15,9.999999999999998,63.18181818181819,76.81818181818181
P,11,90.9090909090909,9.090909090909092,1.7763568394002505e-15,9.999999999999998,62.727272727272734,76.36363636363636
BYDDF,26,92.3076923076923,7.6923076923076925,8.881784197001252e-16,12.0,62.69230769230768,72.6923076923077
SERV,20,95.0,5.0,0.0,19.0,62.499999999999986,69.0
V,29,93.10344827586206,6.896551724137931,5.329070518200751e-15,13.5,62.41379310344827,71.03448275862068
AXON,40,92.5,7.5,0.0,12.333333333333334,62.375,72.625
AFRM,74,93.24324324324324,6.756756756756757,8.881784197001252e-16,13.799999999999999,62.36486486486488,71.55405405405405
KWEB,120,92.5,7.5,0.0,12.333333333333334,62.250000000000014,71.75
TCEHY,14,92.85714285714286,7.142857142857142,-3.552713678800501e-15,13.000000000000002,62.14285714285713,72.14285714285714
CGC,11,90.9090909090909,9.090909090909092,1.7763568394002505e-15,9.999999999999998,61.81818181818181,72.72727272727273
NOW,35,91.42857142857143,8.571428571428571,-1.7763568394002505e-15,10.666666666666668,61.71428571428569,72.28571428571429
COST,38,92.10526315789474,7.894736842105263,-2.6645352591003757e-15,11.666666666666668,61.31578947368419,70.78947368421052
RIVN,156,91.66666666666666,8.333333333333332,1.0658141036401503e-14,11.0,61.31410256410259,72.21153846153847
SE,27,92.5925925925926,7.4074074074074066,-1.7763568394002505e-15,12.500000000000002,61.296296296296305,72.77777777777777
IBIT,25,92.0,8.0,0.0,11.5,61.19999999999999,72.4
PGY,60,91.66666666666666,8.333333333333332,1.0658141036401503e-14,11.0,61.16666666666667,72.0
UAL,10,90.0,10.0,0.0,9.0,61.00000000000001,76.0
G,45,91.11111111111111,8.88888888888889,-3.552713678800501e-15,10.25,61.0,72.33333333333333
BABA,764,92.67015706806284,7.198952879581152,0.1308900523560128,12.872727272727273,60.96204188481666,70.11780104712042
EOSE,16,93.75,6.25,0.0,15.0,60.937499999999986,68.4375
ASML,114,89.47368421052632,10.526315789473683,1.7763568394002505e-15,8.5,60.92105263157897,74.69298245614036
KO,14,92.85714285714286,7.142857142857142,-3.552713678800501e-15,13.000000000000002,60.71428571428571,68.57142857142857
GRRR,18,94.44444444444444,5.555555555555555,1.7763568394002505e-15,17.0,60.555555555555564,67.22222222222223
SNPS,10,90.0,10.0,0.0,9.0,60.5,75.5
NBIS,23,91.30434782608695,8.695652173913043,3.552713678800501e-15,10.5,60.434782608695635,70.8695652173913
PINS,12,91.66666666666666,8.333333333333332,1.0658141036401503e-14,11.0,60.416666666666664,74.58333333333333
DELL,20,90.0,10.0,0.0,9.0,60.0,72.0
APRE,16,93.75,6.25,0.0,15.0,60.0,68.125
MA,14,92.85714285714286,7.142857142857142,-3.552713678800501e-15,13.000000000000002,59.64285714285715,68.21428571428571
CAT,14,92.85714285714286,7.142857142857142,-3.552713678800501e-15,13.000000000000002,59.64285714285714,70.35714285714286
ADBE,27,88.88888888888889,7.4074074074074066,3.7037037037037077,12.000000000000002,59.62962962962962,72.5925925925926
LMND,20,90.0,10.0,0.0,9.0,59.5,73.0
ULTA,10,90.0,10.0,0.0,9.0,59.5,73.5
LABU,13,92.3076923076923,7.6923076923076925,8.881784197001252e-16,12.0,59.23076923076923,69.23076923076923
GLP,10,90.0,10.0,0.0,9.0,59.00000000000001,73.0
CFLT,8,87.5,12.5,0.0,7.0,58.75,73.75
AI,37,89.1891891891892,10.81081081081081,-3.552713678800501e-15,8.25,58.648648648648646,72.70270270270271
CRM,54,88.88888888888889,9.25925925925926,1.8518518518518547,9.6,58.51851851851851,72.5925925925926
NIO,221,90.04524886877829,9.502262443438914,0.4524886877827985,9.476190476190476,58.4841628959276,71.26696832579185
RKLB,207,89.85507246376811,9.66183574879227,0.4830917874396192,9.299999999999999,58.35748792270529,71.44927536231884
DUOL,28,89.28571428571429,10.714285714285714,-5.329070518200751e-15,8.333333333333334,58.03571428571429,72.67857142857143
SOFI,193,88.60103626943005,10.880829015544041,0.518134715025905,8.142857142857144,58.005181347150256,72.15025906735751
NFLX,122,89.34426229508196,10.655737704918032,7.105427357601002e-15,8.384615384615385,57.99180327868856,72.6639344262295
APLD,8,87.5,12.5,0.0,7.0,56.875,71.875
DOCU,9,88.88888888888889,11.11111111111111,3.552713678800501e-15,8.0,56.66666666666668,71.11111111111111
BLK,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,56.42857142857143,75.0
LUNR,25,88.0,12.0,0.0,7.333333333333333,56.399999999999984,71.2
ENVX,12,91.66666666666666,8.333333333333332,1.0658141036401503e-14,11.0,56.250000000000014,69.58333333333333
TWLO,28,89.28571428571429,10.714285714285714,-5.329070518200751e-15,8.333333333333334,56.25,71.96428571428571
COIN,120,88.33333333333333,11.666666666666666,5.329070518200751e-15,7.571428571428571,56.208333333333336,72.45833333333333
EQX,10,90.0,10.0,0.0,9.0,56.00000000000001,70.0
FWRD,11,90.9090909090909,9.090909090909092,1.7763568394002505e-15,9.999999999999998,55.90909090909091,66.81818181818181
CLBT,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,55.714285714285715,74.28571428571429
CLSK,86,87.20930232558139,12.790697674418606,3.552713678800501e-15,6.8181818181818175,55.69767441860465,72.20930232558139
UPST,79,88.60759493670885,11.39240506329114,1.0658141036401503e-14,7.777777777777777,55.69620253164559,71.0126582278481
ENPH,16,87.5,12.5,0.0,7.0,55.625,70.625
MARA,136,86.76470588235294,11.76470588235294,1.4705882352941178,7.375000000000001,55.514705882352956,71.58088235294117
TSM,110,84.54545454545455,13.636363636363635,1.8181818181818183,6.200000000000001,55.50000000000001,74.13636363636364
TDOC,11,90.9090909090909,9.090909090909092,1.7763568394002505e-15,9.999999999999998,55.45454545454545,70.0
JOBY,33,90.9090909090909,9.090909090909092,1.7763568394002505e-15,9.999999999999998,55.30303030303029,68.03030303030303
ASTS,156,87.82051282051282,12.179487179487179,3.552713678800501e-15,7.2105263157894735,55.19230769230773,71.08974358974359
LI,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,55.00000000000001,75.0
ALGO,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,54.99999999999999,72.14285714285714
BESI,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,54.99999999999999,77.85714285714286
NVDX,9,88.88888888888889,11.11111111111111,3.552713678800501e-15,8.0,54.99999999999999,68.33333333333333
HITI,33,87.87878787878788,12.121212121212121,3.552713678800501e-15,7.25,54.848484848484844,71.81818181818181
UBER,170,87.6470588235294,12.352941176470589,5.329070518200751e-15,7.095238095238095,54.752941176470614,70.75294117647059
GME,72,88.88888888888889,9.722222222222223,1.388888888888891,9.142857142857142,54.652777777777786,67.01388888888889
CRWD,82,86.58536585365853,13.414634146341465,5.329070518200751e-15,6.454545454545453,54.63414634146344,71.95121951219512
PDD,194,87.62886597938144,12.371134020618557,-1.7763568394002505e-15,7.083333333333333,54.561855670103064,70.74742268041237
ARM,65,87.6923076923077,12.307692307692308,-1.7763568394002505e-15,7.125,54.53846153846153,71.15384615384616
MRK,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,54.28571428571429,72.85714285714286
WDAY,8,87.5,12.5,0.0,7.0,53.75000000000001,71.25
LULU,18,88.88888888888889,11.11111111111111,3.552713678800501e-15,8.0,53.6111111111111,67.5
ACB,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,53.571428571428584,70.71428571428571
AIFF,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,53.571428571428584,67.85714285714286
CVX,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,53.57142857142857,75.0
FUTU,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,53.57142857142857,73.57142857142857
TSLL,15,86.66666666666667,13.333333333333334,-5.329070518200751e-15,6.5,53.33333333333334,74.66666666666667
EVO,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,53.333333333333336,73.33333333333333
CEG,15,86.66666666666667,13.333333333333334,-5.329070518200751e-15,6.5,53.333333333333336,70.0
HSI,67,85.07462686567165,14.925373134328357,-3.552713678800501e-15,5.700000000000001,52.98507462686566,71.19402985074628
EBIT,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,52.85714285714286,74.28571428571429
RSP,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,52.85714285714286,70.0
MPWR,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,52.85714285714286,74.28571428571429
FXI,34,85.29411764705883,14.705882352941178,-3.552713678800501e-15,5.8,52.79411764705883,70.44117647058823
LCID,15,86.66666666666667,13.333333333333334,-5.329070518200751e-15,6.5,52.66666666666667,72.66666666666667
CDNS,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,52.5,75.83333333333333
X,9,88.88888888888889,11.11111111111111,3.552713678800501e-15,8.0,52.222222222222214,67.77777777777777
BITF,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,52.142857142857146,72.14285714285714
RIOT,67,85.07462686567165,14.925373134328357,-3.552713678800501e-15,5.700000000000001,52.08955223880597,72.98507462686567
SHOP,79,84.81012658227847,15.18987341772152,8.881784197001252e-15,5.583333333333332,52.08860759493674,72.72151898734177
GRAB,89,84.26966292134831,15.730337078651685,1.7763568394002505e-15,5.357142857142858,52.000000000000014,70.98876404494382
FICO,13,84.61538461538461,15.384615384615385,1.7763568394002505e-15,5.5,51.92307692307693,71.15384615384616
GOLD,8,87.5,12.5,0.0,7.0,51.87500000000001,69.375
TRTCH,87,87.35632183908046,12.643678160919542,-7.105427357601002e-15,6.909090909090908,51.72413793103452,68.73563218390805
FOA,9,88.88888888888889,11.11111111111111,3.552713678800501e-15,8.0,51.66666666666667,68.33333333333333
